LINK,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=fd4a74de56a960ab,주간 보안 관제센터 관제 10년 이하,시스템 소프트웨어 개발/ 서비스 IT 서비스 기업 서울 강남구,,"Response)에 대한 경험 및 이해 필수 - 다양한 보안솔루션 운영 경험 - Python, GoLang 및 스크립트 언어 사용 가능자 • 우대사항 - ELK 기반 업무 유경험자 - 트렌드 마이크로 Deep..."
https://kr.indeed.com/viewjob?jk=d1184c95d2db2319,Developer Operations Engineer,ChilliConnect 서울,,"modern scripting or programming languages... Python or Golang Basic networking knowledge (routing, firewalls, DNS..."
https://kr.indeed.com/viewjob?jk=45a4ba70bc50acf0,[기술기획] DevOps 플랫폼 개발자,한국카카오은행 성남 분당구,,"경험이 있는 분 · Docker 기반으로 서비스를 구성/운영한 경험이 있는 분 · Python, Java, Golang 중 하나 이상의 언어에 능숙한 분 · Linux 환경에서 서비스 개발/운영 경험이 있는 분 · 총 경력..."
https://kr.indeed.com/viewjob?jk=5a349ecd72559c9f,시스템엔지니어 신입/경력 정규직,메에먼트 서울 강남구,"연봉 30,000,000원 - 35,000,000원","private cloud 를 통한 폐쇄망 구축 경험 *자동화 script ( bash, python, golang등) 개발운영 경험 우대사항 *다양한 트러블 슈팅 경험 (장애 프로파일링) *대용량 트래픽 분산처리 경험..."
https://kr.indeed.com/viewjob?jk=eb96832ac48c9f81,[카카오 클라우드] 어플리케이션플랫폼(APAAS) 서버 개발자 모집,카카오 4.0 성남 판교역,,"관심 있으신 분 Golang, Java 중 한 가지 언어를 능숙하게 사용할 수 있으신 분 하나 이상의 DBMS 사용 경험이 있으신 분 [우대사항] 서비스의 전체적인 아키텍처를 설계하실 수 있는 분 Golang 개발에 익숙..."
https://kr.indeed.com/viewjob?jk=c58df1061d490778,[카카오 클라우드] 컨테이너 클라우드 개발자 모집,카카오 4.0 성남 판교역,,"개발/운영하고 있고, 이 또한 오픈소스 로 공개되어 있습니다. 현재는 golang 버전으로 전환하여 서비스 중입니다. 저희 조직의 개발 문화와 팀... 슈팅 경험 퍼블릭 클라우드 사용 경험 golang, react, shell..."
https://kr.indeed.com/viewjob?jk=383d4c8a7156b52b,[카카오 클라우드] 카카오 클라우드 콘솔(포탈) 서버 개발자 모집,카카오 4.0 성남 판교역,,"자격 [기본 조건] 전산학/컴퓨터 공학 전공 또는 동등의 학력을 가지신 분 개발 경력 3년 이상 Java, Golang 중 한 가지 언어를 능숙하게 사용할 수 있으신 분 웹서비스를 구성하는 기술에 대한 이해 클라우드 서비스..."
https://kr.indeed.com/viewjob?jk=2372de2fcdcdd088,[기술기획] 클라우드 플랫폼 개발자,한국카카오은행 성남 분당구,,"운영한 경험이 2년 이상인 분 · Infrastructure as Code를 이해하고 구현할 수 있는 분 · Golang, Python, Java 중 하나 이상의 언어에 능숙한 분 우대사항 · 서비스를 설계 단계부터 참여해서..."
https://kr.indeed.com/viewjob?jk=9248ca355efc13d2,[클라우드서비스] 네트워크 개발자 영입,카카오엔터프라이즈 성남 분당구,,"이에 준하는 3년 이상의 경력 - Network Virtualization에 관심이 있는 분 - Golang, Python, C/C++ 중 한 가지 언어에 능숙한 개발 ◆ 우대사항 - Kubernetes/Openstack..."
https://kr.indeed.com/viewjob?jk=f97d8d627c3d7362,Infra Software Engineer,Toss 서울 강남구,,"경험이 있는 분 - Software-intensive system의 구조 설계 경험이 있는 분 - C, Golang, Python, Javascript 중 하나 이상의 언어에 능숙하신 분 # 우대 사항 - 다양한 기반 기술에..."
